+------+---------------------------------------------------------------------------------+------------------------+---------------+
| Rank |                                    Drug Name                                    |      Target Name       | Binding Score |
| 160  |                                 NCGC00186041-01                                 | SARS-CoV2 3CL Protease |      1.43     |
| 161  |                         NCGC00388522-02&NCGC00388522-04                         | SARS-CoV2 3CL Protease |      1.43     |
| 162  |                                 NCGC00509934-01                                 | SARS-CoV2 3CL Protease |      1.44     |
| 163  |                                 NCGC00532494-01                                 | SARS-CoV2 3CL Protease |      1.46     |
| 164  |                                 NCGC00389613-01                                 | SARS-CoV2 3CL Protease |      1.46     |
| 165  |                                 NCGC00346624-10                                 | SARS-CoV2 3CL Protease |      1.46     |
| 166  |                                 NCGC00384598-01                                 | SARS-CoV2 3CL Protease |      1.46     |
| 167  |                                 NCGC00390742-01                                 | SARS-CoV2 3CL Protease |      1.47     |
| 168  |                                 NCGC00381131-01                                 | SARS-CoV2 3CL Protease |      1.47     |
| 169  |                                 NCGC00385448-01                                 | SARS-CoV2 3CL Protease |      1.47     |
| 170  |                                 NCGC00384552-01                                 | SARS-CoV2 3CL Protease |      1.47     |
| 171  |                                 NCGC00370779-02                                 | SARS-CoV2 3CL Protease |      1.47     |
| 172  |                                 NCGC00378612-02                                 | SARS-CoV2 3CL Protease |      1.47     |
| 173  |                                 NCGC00025341-06                                 | SARS-CoV2 3CL Protease |      1.48     |
| 174  |                                 NCGC00370923-11                                 | SARS-CoV2 3CL Protease |      1.48     |
| 175  |                                 NCGC00390659-01                                 | SARS-CoV2 3CL Protease |      1.48     |
| 176  |                                 NCGC00390608-01                                 | SARS-CoV2 3CL Protease |      1.49     |
| 177  |                                 NCGC00380795-01                                 | SARS-CoV2 3CL Protease |      1.49     |
| 178  |                                 NCGC00475727-01                                 | SARS-CoV2 3CL Protease |      1.50     |
| 179  |                                 NCGC00386744-01                                 | SARS-CoV2 3CL Protease |      1.51     |
| 180  |                                 NCGC00169507-03                                 | SARS-CoV2 3CL Protease |      1.51     |
| 181  |                                 NCGC00386140-01                                 | SARS-CoV2 3CL Protease |      1.52     |
| 182  |                                 NCGC00384675-01                                 | SARS-CoV2 3CL Protease |      1.52     |
| 183  |                                 NCGC00025245-05                                 | SARS-CoV2 3CL Protease |      1.52     |
| 184  |                                 NCGC00380247-01                                 | SARS-CoV2 3CL Protease |      1.53     |
| 185  |                                 NCGC00379073-05                                 | SARS-CoV2 3CL Protease |      1.53     |
| 186  |                                 NCGC00016041-04                                 | SARS-CoV2 3CL Protease |      1.54     |
| 187  |                         NCGC00179578-03&NCGC00179578-11                         | SARS-CoV2 3CL Protease |      1.54     |
| 188  |                                 NCGC00380932-01                                 | SARS-CoV2 3CL Protease |      1.54     |
| 189  |                                 NCGC00163732-03                                 | SARS-CoV2 3CL Protease |      1.54     |
| 190  |                                 NCGC00386630-01                                 | SARS-CoV2 3CL Protease |      1.54     |
